"date","main_gas","oak_gas","main_ele","oak_ele","oat_hull","pellet_coal","pellet","gas_the","pellet_per","pellet_the","hull_the","coal_the","coal_co2","pellet_co2","gas_co2","hull_co2","gas_n20","pellet_n20","hull_n20","coal_n20","coal_ch4","gas_ch4","pellet_ch4","hull_ch4","ele_co2","ele_ch4","ele_n20"
2021-07-20,2725.91197759488,522.583643122676,1071.73925569833,36.168171282435,482.300939118017,147.975956395532,0.249862760691588,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-07-21,2900.47791651294,552.416356877323,1116.77452043455,36.6511843942225,480.704385204001,146.016503919304,0.257261387935565,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-07-22,3887.94815741038,563.661710037175,1111.23421618708,31.927737252217,234.815473170133,192.361149516287,0.220836159369208,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-07-23,4657.44807028631,559.10780669145,1123.43958582092,32.7654380537669,3.24858075367483,240.096929911634,0.197136554883147,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-07-24,4605.62305554298,313.940520446097,1057.45062854983,50.0986476541386,0,249.566979711291,0.21,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-07-25,4071.97348581505,335.594795539033,982.817329636471,55.8100171081513,0,251.302174425566,0.237691015071378,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-07-26,3577.31193295863,550.46468401487,1063.20723719498,38.2986722464826,0,306.943218133281,0.263339252818453,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-07-27,2160.79403958952,548.327137546468,1116.55153269695,33.4342979294318,249.961099479894,240.165599124431,108.864750914539,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-07-28,1437.19030536404,674.628252788104,1218.64983805189,32.5336990901684,178.600555872938,266.313711694638,233.555533375923,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-07-29,2669.72787257661,573.420074349442,1231.49995976191,32.758853284896,17.9303379324786,245.353781065423,198.594300813282,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
